LATITUDE,LONGITUDE,OBSERVATION DATE
36.8295421,-121.7307107,43101
28.6575241,-80.7545391,43101
28.6628762,-80.7234192,43101
32.6353273,-80.381813,43101
29.9074366,-96.0036763,43101
29.2169006,-94.9349016,43101
28.6575241,-80.7545391,43101
26.1268335,-97.9578167,43101
29.6068756,-82.3031116,43101
26.4330582,-80.9416786,43101
29.6148414,-94.5344353,43101
21.1466826,-86.8145496,43101
28.6575241,-80.7545391,43101
27.3253186,-82.4336821,43101
29.201,-95.562,43101
29.6068756,-82.3031116,43101
26.4540529,-82.1155071,43101
29.6193055,-82.3285764,43101
28.5753263,-80.9966826,43101
18.276151,-87.834947,43101
26.19435,-97.524998,43101
32.5918043,-80.4641247,43101
29.6068756,-82.3031116,43101
26.146511,-97.635815,43101
29.6068756,-82.3031116,43101
32.60632,-80.54249,43101
29.6193055,-82.3285764,43101
32.6353273,-80.381813,43101
32.60632,-80.54249,43101
29.6068756,-82.3031116,43101
26.1268335,-97.9578167,43101
26.146511,-97.635815,43101
30.2181988,-97.6458054,43101
28.6575241,-80.7545391,43101
29.6068756,-82.3031116,43101
24.1099,-110.1821,43101
36.8295421,-121.7307107,43101
34.1113782,-119.111495,43101
28.53918,-80.67197,43101
36.8404781,-121.7424688,43101
21.5652606,-105.275414,43101
32.6353273,-80.381813,43101
29.6068756,-82.3031116,43101
26.238899,-80.1858374,43101
34.0052337,-77.9775238,43101
29.6193055,-82.3285764,43101
29.6068756,-82.3031116,43101
28.6575241,-80.7545391,43101
28.6575241,-80.7545391,43101
26.19435,-97.524998,43101
29.6068756,-82.3031116,43101
29.9074366,-96.0036763,43101
32.60632,-80.54249,43101
32.1655799,-81.1152447,43101
28.6575241,-80.7545391,43101
28.8938016,-95.5819988,43101
28.6575241,-80.7545391,43101
29.888686,-95.923957,43101
32.60632,-80.54249,43101
29.6193055,-82.3285764,43101
26.1268335,-97.9578167,43101
26.1268335,-97.9578167,43101
29.9074366,-96.0036763,43101
28.2504014,-96.7894328,43101
32.5918043,-80.4641247,43101
32.6353273,-80.381813,43101
29.6193055,-82.3285764,43101
28.53918,-80.67197,43101
29.6148414,-94.5344353,43101
29.6068756,-82.3031116,43101
29.6193055,-82.3285764,43101
27.334,-82.4433,43101
28.6575241,-80.7545391,43101
33.6958158,-118.0368304,43101
26.1474739,-97.6392145,43101
28.6575241,-80.7545391,43101
