LATITUDE,LONGITUDE,OBSERVATION DATE
10.9457424,-85.6928444,43101
25.6158197,-80.3158785,43101
29.2348893,-89.9943727,43101
12.540953,-86.854873,43101
35.5622821,-75.4715037,43101
21.5428267,-105.2851059,43101
27.1103545,-80.2531743,43101
10.3137585,-85.3411821,43101
25.6158197,-80.3158785,43101
26.2406885,-80.1853455,43101
9.758736,-85.03964,43101
38.953406,-74.9238557,43101
26.238899,-80.1858374,43101
26.1856055,-98.3799398,43101
17.2127958,-96.7289394,43101
14.0092571,-87.0059681,43101
15.789966,-87.443872,43101
21.5428267,-105.2851059,43101
26.1517688,-80.141809,43101
26.1268335,-97.9578167,43101
12.540953,-86.854873,43101
25.693199,-80.329592,43101
28.097613,-81.7327452,43101
13.8569059,-87.2341957,43101
28.100528,-80.6180191,43101
29.2348893,-89.9943727,43101
14.833895,-91.530965,43101
9.758736,-85.03964,43101
27.2025033,-80.2006245,43101
28.6618783,-81.4567137,43101
13.8569059,-87.2341957,43101
12.540953,-86.854873,43101
9.758736,-85.03964,43101
27.1103545,-80.2531743,43101
26.1517688,-80.141809,43101
26.238899,-80.1858374,43101
26.1517688,-80.141809,43101
26.1268335,-97.9578167,43101
26.5052465,-80.1397812,43101
32.118904,-80.812345,43101
30.41798,-87.30785,43101
10.0160592,-84.5916015,43101
27.2025033,-80.2006245,43101
29.0839593,-81.0242718,43101
27.2025033,-80.2006245,43101
17.1027333,-89.0559946,43101
15.2361884,-91.6915083,43101
9.9458141,-85.6689888,43101
26.083773,-98.136795,43101
25.693199,-80.329592,43101
26.2768695,-80.214057,43101
10.3166082,-85.3479767,43101
12.540953,-86.854873,43101
26.5052465,-80.1397812,43101
26.1517688,-80.141809,43101
11.9916368,-86.2507439,43101
26.0373118,-80.1716566,43101
26.1517688,-80.141809,43101
10.050414,-84.321094,43101
27.2025033,-80.2006245,43101
27.2025033,-80.2006245,43101
14.7013178,-91.2897107,43101
14.7013178,-91.2897107,43101
26.219365,-98.376849,43101
21.4434647,-87.708558,43101
15.789966,-87.443872,43101
25.6050064,-80.4275023,43101
20.374687,-87.3252207,43101
27.2052514,-82.4849224,43101
25.2813046,-80.8001782,43101
10.3137585,-85.3411821,43101
13.7103793,-89.0889421,43101
26.2768695,-80.214057,43101
27.8785981,-82.2423528,43101
38.953406,-74.9238557,43101
29.9280679,-90.2021742,43101
15.2330945,-91.6914439,43101
28.5787393,-81.3487709,43101
28.6618783,-81.4567137,43101
31.917919,-81.0501981,43101
32.7434646,-79.9136066,43101
26.1517688,-80.141809,43101
25.5587322,-80.4517114,43101
21.5428267,-105.2851059,43101
28.5029409,-80.779295,43101
21.5428267,-105.2851059,43101
17.777631,-88.534709,43101
21.5662204,-88.0882931,43101
10.050414,-84.321094,43101
30.3785674,-81.5097822,43101
38.953406,-74.9238557,43101
