LATITUDE,LONGITUDE,OBSERVATION DATE
39.3152585,-76.875726,43101
38.2741878,-87.3582755,43101
39.4564861,-75.5954003,43101
34.8987879,-82.2795591,43101
28.9093697,-81.3236815,43101
38.3058335,-76.5355682,43101
30.535666,-84.28821,43101
33.9803781,-77.9147708,43101
29.6570293,-81.239562,43101
36.2404767,-86.6438231,43101
35.6996631,-83.8493156,43101
37.2979404,-76.6523857,43101
37.2936522,-76.6451097,43101
39.3213176,-76.644187,43101
38.9640383,-84.5497084,43101
41.3691761,-72.3664927,43101
41.2684205,-69.9639416,43101
35.8952328,-79.0405194,43101
42.0678218,-70.6785584,43101
33.0817614,-83.2152557,43101
31.3382433,-89.1892004,43101
30.5653412,-84.2964006,43101
38.922366,-76.56349,43101
41.2684205,-69.9639416,43101
38.9377865,-74.9670721,43101
38.7717692,-86.5551019,43101
38.954937,-85.8028901,43101
39.0097471,-84.1121864,43101
35.0985,-92.301163,43101
32.8212429,-90.0477105,43101
38.993346,-76.631283,43101
39.650051,-86.350021,43101
34.5639407,-86.7787099,43101
39.2680564,-75.1252556,43101
33.8470374,-84.1163921,43101
34.480661,-90.193854,43101
39.3314389,-75.0954366,43101
39.1253997,-84.2434222,43101
38.3058335,-76.5355682,43101
41.2903238,-70.0247043,43101
30.429394,-81.6012981,43101
35.68675,-77.425186,43101
33.974364,-77.997322,43101
38.8161056,-90.1332583,43101
35.7110944,-87.7927357,43101
33.7808595,-84.2922592,43101
35.9641742,-78.9434597,43101
36.706112,-86.958198,43101
33.8128138,-84.1552734,43101
39.4622566,-76.5586782,43101
41.515625,-71.100281,43101
39.1725256,-75.9475422,43101
36.5961788,-76.1074796,43101
28.7046871,-81.6656021,43101
30.535666,-84.28821,43101
29.6220792,-82.3079824,43101
37.744151,-77.045086,43101
30.535666,-84.28821,43101
38.9965886,-76.6326183,43101
32.6970478,-96.9803906,43101
39.27041,-75.10103,43101
28.53918,-80.67197,43101
39.27041,-75.10103,43101
30.5803884,-84.2882324,43101
33.5106096,-94.1052657,43101
34.2971826,-95.2761033,43101
33.1597663,-87.5938725,43101
35.6688151,-76.583848,43101
