LATITUDE,LONGITUDE,OBSERVATION DATE
13.7217538,-89.2255915,43101
20.6951682,-88.2052803,43101
21.1021484,-86.7932509,43101
8.6214596,-80.1391268,43101
9.808,-84.611,43101
9.6545397,-63.2488877,43101
18.028519,-94.678627,43101
10.4661594,-84.4610262,43101
13.7103793,-89.0889421,43101
18.7867986,-95.7677364,43101
17.1382019,-89.0829703,43101
21.600315,-87.9898024,43101
20.8997571,-105.4123929,43101
20.3983115,-86.961937,43101
9.958339,-83.7089653,43101
8.5397689,-83.3009936,43101
17.1382019,-89.0829703,43101
18.7867986,-95.7677364,43101
21.1466826,-86.8145496,43101
4.6585763,-74.0936208,43101
15.789966,-87.443872,43101
12.035371,-86.188484,43101
16.947791,-88.224437,43101
16.8572908,-88.2831287,43101
21.5428267,-105.2851059,43101
16.947791,-88.224437,43101
12.035371,-86.188484,43101
10.3196819,-85.8373747,43101
9.35555,-83.6908722,43101
19.873054,-90.4951532,43101
12.540953,-86.854873,43101
21.1466826,-86.8145496,43101
8.9495145,-78.3984804,43101
9.35555,-83.6908722,43101
13.8569059,-87.2341957,43101
20.7635729,-105.4927102,43101
12.540953,-86.854873,43101
20.3983115,-86.961937,43101
10.099179,-84.3882748,43101
21.7685073,-72.1928787,43101
10.0576,-84.4955492,43101
21.1466826,-86.8145496,43101
21.1528518,-86.8331407,43101
14.1031142,-90.9188175,43101
10.3166082,-85.3479767,43101
18.5170106,-89.5051968,43101
13.8569059,-87.2341957,43101
8.2152281,-77.7344084,43101
9.758736,-85.03964,43101
21.6040411,-105.3016269,43101
9.9458141,-85.6689888,43101
9.7844453,-84.5664024,43101
10.0160592,-84.5916015,43101
9.0106331,-79.4590073,43101
24.1130972,-110.3687382,43101
13.9852979,-89.5630413,43101
8.9939449,-79.5329851,43101
12.6331775,-87.1361947,43101
21.5662204,-88.0882931,43101
13.8569059,-87.2341957,43101
3.545418,-76.288569,43101
8.59577,-80.13861,43101
4.6585763,-74.0936208,43101
9.9372535,-84.1917334,43101
8.9495145,-78.3984804,43101
21.2470623,-105.167141,43101
20.9310742,-105.3961158,43101
23.4519475,-110.2285337,43101
21.1021484,-86.7932509,43101
14.5251539,-91.1420054,43101
21.6040411,-105.3016269,43101
13.5330256,-89.8183823,43101
16.947791,-88.224437,43101
21.1021484,-86.7932509,43101
21.1466826,-86.8145496,43101
21.6040411,-105.3016269,43101
13.8569059,-87.2341957,43101
9.758736,-85.03964,43101
10.4656949,-84.7550561,43101
12.540953,-86.854873,43101
21.6040411,-105.3016269,43101
17.164847,-88.683585,43101
21.1021484,-86.7932509,43101
9.47398,-84.06669,43101
17.764628,-88.6520934,43101
11.0361571,-84.4681263,43101
13.8569059,-87.2341957,43101
10.3196819,-85.8373747,43101
26.487165,-80.160687,43101
21.1466826,-86.8145496,43101
21.600315,-87.9898024,43101
21.6040411,-105.3016269,43101
12.035371,-86.188484,43101
10.0160592,-84.5916015,43101
13.8569059,-87.2341957,43101
20.3983115,-86.961937,43101
21.1021484,-86.7932509,43101
16.7909086,-90.1071713,43101
11.0361571,-84.4681263,43101
17.740505,-88.025575,43101
21.5359291,-105.2934112,43102
21.6185742,-105.2479076,43102
21.6173833,-105.2687123,43102
5.025001,-74.488582,43102
21.6173833,-105.2687123,43102
21.5807872,-105.2405584,43102
21.6173833,-105.2687123,43102
16.9213648,-89.8827678,43102
21.5450953,-105.273571,43102
13.4902962,-89.2708289,43102
21.5337126,-105.2530539,43102
21.5807872,-105.2405584,43102
12.4836668,-69.973104,43102
21.5337126,-105.2530539,43102
5.1089444,-75.6522778,43102
21.5775754,-105.1459825,43102
5.7868833,-76.0159922,43102
21.5807872,-105.2405584,43102
21.5450953,-105.273571,43102
21.5807872,-105.2405584,43102
15.8131583,-96.0638309,43102
5.1089444,-75.6522778,43102
9.8901392,-83.6550522,43102
21.5371858,-105.2919405,43102
21.5324671,-105.2716609,43102
20.8755356,-90.3652459,43102
20.8069902,-105.2389383,43102
21.6173833,-105.2687123,43102
9.386,-79.868,43102
21.5807872,-105.2405584,43102
13.693303,-89.2542646,43102
9.386,-79.868,43102
21.5359291,-105.2934112,43102
21.6173833,-105.2687123,43102
21.6173833,-105.2687123,43102
9.9177108,-84.1244602,43102
8.493698,-79.956771,43102
21.5347297,-105.292443,43102
13.7001358,-89.1498309,43102
21.4809405,-105.2008188,43102
21.5371858,-105.2919405,43102
23.4070637,-106.5433409,43102
9.386,-79.868,43102
5.1089444,-75.6522778,43102
13.7103793,-89.0889421,43102
16.8250395,-88.3017111,43102
21.6173833,-105.2687123,43102
21.5770705,-105.188942,43102
21.5775754,-105.1459825,43102
10.4505478,-84.0616171,43102
21.5775754,-105.1459825,43102
21.5337126,-105.2530539,43102
21.6173833,-105.2687123,43102
4.2526056,-73.8071823,43102
21.5337126,-105.2530539,43102
21.5775754,-105.1459825,43102
17.22248,-89.62307,43102
21.5775754,-105.1459825,43102
15.9418035,-97.1882772,43102
9.7965234,-84.596529,43102
14.522631,-91.136519,43102
21.6185742,-105.2479076,43102
21.4809405,-105.2008188,43102
21.6173833,-105.2687123,43102
20.9029183,-105.4086685,43102
9.386,-79.868,43102
20.3983115,-86.961937,43102
8.6996316,-83.2042474,43102
33.8530963,-117.8190136,43102
21.5770705,-105.188942,43102
16.9213648,-89.8827678,43102
21.6173833,-105.2687123,43102
19.8005198,-87.4770284,43102
14.0092571,-87.0059681,43102
10.9799684,-84.7383845,43102
21.5324671,-105.2716609,43102
21.4809405,-105.2008188,43102
16.9213648,-89.8827678,43102
17.9755899,-67.0633221,43102
20.3983115,-86.961937,43102
8.1762872,-77.7094797,43102
21.5807872,-105.2405584,43102
21.5807872,-105.2405584,43102
21.5450953,-105.273571,43102
12.067253,-86.21568,43102
12.4813308,-69.971323,43102
9.386,-79.868,43102
21.6173833,-105.2687123,43102
21.6185742,-105.2479076,43102
20.487835,-86.968319,43102
9.772411,-84.632711,43102
21.5324671,-105.2716609,43102
8.3894164,-77.8716233,43102
14.0092571,-87.0059681,43102
9.6487098,-84.5985246,43102
5.1089444,-75.6522778,43102
16.3169269,-61.7932892,43102
20.3983115,-86.961937,43102
10.0249688,-84.1128302,43102
21.5807872,-105.2405584,43102
11.212165,-85.6533623,43103
20.4918848,-87.7387905,43103
20.3983115,-86.961937,43103
20.692986,-105.243112,43103
28.5432114,-80.860126,43103
21.528278,-105.287821,43103
11.2670533,-85.7461023,43103
20.651573,-105.2436995,43103
10.1413403,-85.0427628,43103
22.882043,-83.524886,43103
11.1565084,-85.7602644,43103
13.2035459,-86.2522888,43103
11.1565084,-85.7602644,43103
19.5967618,-90.2287173,43103
12.4525012,-69.9532127,43103
15.782425,-96.0656548,43103
11.2670533,-85.7461023,43103
9.9372535,-84.1917334,43103
17.5144066,-88.2152813,43103
11.2093025,-85.5313969,43103
13.7371117,-89.2797947,43103
19.1056353,-96.1595911,43103
10.4706261,-84.6353205,43103
17.5144066,-88.2152813,43103
20.4906975,-87.7317009,43103
19.2879753,-81.3162947,43103
16.4028388,-61.5265059,43103
5.8410722,-75.7946278,43103
11.2014724,-85.6634903,43103
20.2734051,-86.9877069,43103
20.651573,-105.2436995,43103
16.4071484,-61.5294027,43103
34.0412851,-118.4524709,43103
21.0427849,-89.65451,43103
18.446142,-89.100731,43103
11.2093025,-85.5313969,43103
13.442306,-89.0543632,43103
9.6565202,-82.7457988,43103
16.4071484,-61.5294027,43103
-1.67783,-80.8133,43103
21.528278,-105.287821,43103
11.108674,-85.7613373,43103
20.6706931,-105.2373505,43103
10.0594508,-84.9422979,43103
10.4893477,-84.7563453,43103
14.5251539,-91.1420054,43103
14.0881298,-87.2326469,43103
10.034443,-84.9098969,43103
16.4286142,-61.4710164,43103
11.2093025,-85.5313969,43103
16.4156158,-61.4837837,43103
11.1565084,-85.7602644,43103
10.4893477,-84.7563453,43103
17.4793232,-88.4049654,43103
20.0774,-87.6147,43103
10.4661111,-84.7358333,43103
26.675872,-77.282177,43103
20.3983115,-86.961937,43103
15.9199667,-96.2970685,43103
21.041958,-89.652351,43103
20.6706931,-105.2373505,43103
8.9939449,-79.5329851,43103
11.212165,-85.6533623,43103
17.4793232,-88.4049654,43103
20.6706931,-105.2373505,43103
11.1229845,-85.7944267,43103
18.6473024,-91.8375063,43103
9.8777939,-84.3401742,43103
9.7844453,-84.5664024,43103
20.4906975,-87.7317009,43103
14.5251539,-91.1420054,43103
17.5144066,-88.2152813,43103
11.2670533,-85.7461023,43103
16.4379477,-61.4512646,43103
19.2879753,-81.3162947,43103
10.0190825,-84.2149496,43103
18.0873639,-65.5192776,43103
21.0427849,-89.65451,43103
10.4661111,-84.7358333,43103
34.0646055,-117.292099,43103
19.1056353,-96.1595911,43103
11.1393326,-85.7841617,43103
11.2670533,-85.7461023,43103
14.5796793,-90.7323503,43103
