LATITUDE,LONGITUDE,OBSERVATION DATE
13.8569059,-87.2341957,43101
31.9850773,-81.1241393,43101
9.9809389,-84.0789163,43101
9.9809389,-84.0789163,43101
20.4906975,-87.7317009,43101
14.8678035,-89.095716,43101
18.5105681,-89.3961878,43101
9.9072344,-84.1362619,43101
13.8569059,-87.2341957,43101
14.7578061,-91.1396921,43101
16.7428703,-92.6144207,43101
10.30708,-84.81162,43101
17.0758895,-96.7325163,43101
34.040781,-81.120297,43101
34.040781,-81.120297,43101
9.83193,-83.5638,43101
10.0359893,-84.1572315,43101
9.9809389,-84.0789163,43101
13.8569059,-87.2341957,43101
32.383047,-81.8780327,43101
26.375442,-81.6040206,43101
40.2768004,-73.9879772,43101
9.9809389,-84.0789163,43101
15.3714981,-90.3507898,43101
18.5105681,-89.3961878,43101
18.5105681,-89.3961878,43101
9.9148545,-84.5411857,43101
34.2832521,-77.7560136,43101
13.8569059,-87.2341957,43101
40.8629374,-73.9327457,43101
10.30708,-84.81162,43101
9.9809389,-84.0789163,43101
29.6492346,-82.3102677,43101
12.540953,-86.854873,43101
16.951466,-89.576908,43101
13.8569059,-87.2341957,43101
13.8569059,-87.2341957,43101
18.5105681,-89.3961878,43101
38.9338272,-74.9550854,43101
33.220422,-87.447445,43101
34.040781,-81.120297,43101
10.0160592,-84.5916015,43101
13.8569059,-87.2341957,43101
14.0092571,-87.0059681,43101
13.5330256,-89.8183823,43101
9.9072344,-84.1362619,43101
9.9148545,-84.5411857,43101
20.4906975,-87.7317009,43101
30.4114017,-87.6940513,43101
10.4527677,-84.0201706,43101
18.5105681,-89.3961878,43101
9.9148545,-84.5411857,43101
35.797466,-78.633717,43101
34.040781,-81.120297,43101
12.540953,-86.854873,43101
36.751815,-75.986877,43101
10.0359893,-84.1572315,43101
12.035371,-86.188484,43101
10.4488491,-84.1049337,43101
31.9850773,-81.1241393,43101
9.9072344,-84.1362619,43101
35.163895,-80.775827,43101
14.0092571,-87.0059681,43101
13.8569059,-87.2341957,43101
32.383047,-81.8780327,43101
9.9809389,-84.0789163,43101
30.4114017,-87.6940513,43101
31.9945291,-81.097607,43101
9.958339,-83.7089653,43101
31.97838,-81.09973,43101
35.61266,-77.36639,43101
18.5105681,-89.3961878,43101
40.277162,-73.9934615,43101
9.83193,-83.5638,43101
9.9809389,-84.0789163,43101
41.5516071,-70.6242263,43101
10.050414,-84.321094,43101
8.5256078,-79.8915803,43101
31.9850773,-81.1241393,43101
10.30708,-84.81162,43101
29.6492346,-82.3102677,43101
31.9850773,-81.1241393,43101
40.2768004,-73.9879772,43101
29.6492346,-82.3102677,43101
9.9727524,-84.3813461,43101
29.6492346,-82.3102677,43101
13.8569059,-87.2341957,43101
41.4347477,-74.4307208,43101
14.5251539,-91.1420054,43101
16.7909086,-90.1071713,43101
32.118904,-80.812345,43101
9.9809389,-84.0789163,43101
15.4209251,-90.3242254,43101
34.2832521,-77.7560136,43101
9.83193,-83.5638,43101
32.1655799,-81.1152447,43101
10.4488491,-84.1049337,43101
10.4661594,-84.4610262,43101
29.6434604,-82.4375975,43101
10.4660528,-84.6428441,43101
37.3400525,-77.2462893,43102
20.9892292,-89.6032584,43102
16.1556448,-88.7663547,43102
10.30708,-84.81162,43102
10.4515719,-84.061659,43102
28.4927269,-82.3173058,43102
8.5256078,-79.8915803,43102
10.4505478,-84.0616171,43102
14.5382005,-91.1577691,43102
9.8901392,-83.6550522,43102
32.1655799,-81.1152447,43102
36.8863529,-76.029481,43102
36.8863529,-76.029481,43102
37.3400525,-77.2462893,43102
16.1556448,-88.7663547,43102
32.0183104,-81.0847449,43102
32.1948677,-81.1058762,43102
32.0444644,-81.0950178,43102
10.30708,-84.81162,43102
36.886558,-76.030615,43102
32.0444644,-81.0950178,43102
8.4633734,-83.278985,43102
9.8777939,-84.3401742,43102
36.8863529,-76.029481,43102
9.7590273,-83.7838937,43102
32.0183104,-81.0847449,43102
10.0249688,-84.1128302,43102
10.0249688,-84.1128302,43102
36.8863529,-76.029481,43102
15.4209251,-90.3242254,43102
9.9177108,-84.1244602,43102
16.1556448,-88.7663547,43102
10.4505478,-84.0616171,43102
36.886558,-76.030615,43102
36.886558,-76.030615,43102
40.71908,-81.812012,43102
36.886558,-76.030615,43102
28.4929908,-82.3169564,43102
16.705435,-92.85168,43102
32.0444644,-81.0950178,43102
28.4927269,-82.3173058,43102
32.0444644,-81.0950178,43102
40.3866316,-80.6465355,43102
